id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2Yv2mHzr5AQavVdwQjEokV,Circles,Hand Me Downs,Mac Miller,False,69,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,audio_features,spotify:track:2Yv2mHzr5AQavVdwQjEokV,https://api.spotify.com/v1/tracks/2Yv2mHzr5AQavVdwQjEokV,https://api.spotify.com/v1/audio-analysis/2Yv2mHzr5AQavVdwQjEokV,4.974,4
3xKsf9qdS1CyvXSMEid6g8,Blonde,Pink + White,Frank Ocean,False,89,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,audio_features,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,3.075266666666667,3
6Ec5LeRzkisa5KJtwLfOoW,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",False,90,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,audio_features,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/tracks/6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/audio-analysis/6Ec5LeRzkisa5KJtwLfOoW,4.2671166666666664,4
5lw8Mgb4LyhriPIC86gV6e,The Lost Boy,RNP (feat. Anderson .Paak),"Cordae, Anderson .Paak",True,70,0.611,0.714,9,-4.696,0,0.856,0.184,0.0,0.145,0.628,196.043,audio_features,spotify:track:5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/tracks/5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/audio-analysis/5lw8Mgb4LyhriPIC86gV6e,2.9304666666666668,4
2z9iuAxKv4TTeCrPAxxKg9,"I Love Life, Thank You",Love Lost,"Mac Miller, The Temper Trap",True,81,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,audio_features,spotify:track:2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/tracks/2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/audio-analysis/2z9iuAxKv4TTeCrPAxxKg9,2.7146,4
1boXOL0ua7N2iCOUVI1p9F,Get You - Single,Japanese Denim,Daniel Caesar,True,79,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,audio_features,spotify:track:1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/tracks/1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/audio-analysis/1boXOL0ua7N2iCOUVI1p9F,4.514116666666666,3
4cRBqWBjuccCowYVHFlXK6,Views,Redemption,Drake,True,68,0.694,0.314,0,-7.82,1,0.116,0.611,2.07e-06,0.117,0.341,119.905,audio_features,spotify:track:4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/tracks/4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/audio-analysis/4cRBqWBjuccCowYVHFlXK6,5.565783333333333,4
7pt64sepCy5QmDrgy9wOJS,blue,blue,Kamal.,False,64,0.725,0.258,11,-14.065,0,0.255,0.668,2.63e-05,0.0955,0.173,127.876,audio_features,spotify:track:7pt64sepCy5QmDrgy9wOJS,https://api.spotify.com/v1/tracks/7pt64sepCy5QmDrgy9wOJS,https://api.spotify.com/v1/audio-analysis/7pt64sepCy5QmDrgy9wOJS,3.075,3
4vzV11MKDc82D9r1YV61MQ,Moonlight in Atlanta,Moonlight in Atlanta,Russ,True,58,0.514,0.32,9,-9.669,1,0.144,0.891,0.0,0.0977,0.236,76.916,audio_features,spotify:track:4vzV11MKDc82D9r1YV61MQ,https://api.spotify.com/v1/tracks/4vzV11MKDc82D9r1YV61MQ,https://api.spotify.com/v1/audio-analysis/4vzV11MKDc82D9r1YV61MQ,2.725,4
0Ph1Ptj4r31cQsUQ4oICNB,Analogue,Bliss City,ODIE,True,47,0.656,0.305,0,-11.997,1,0.0946,0.307,2.45e-05,0.0891,0.421,180.752,audio_features,spotify:track:0Ph1Ptj4r31cQsUQ4oICNB,https://api.spotify.com/v1/tracks/0Ph1Ptj4r31cQsUQ4oICNB,https://api.spotify.com/v1/audio-analysis/0Ph1Ptj4r31cQsUQ4oICNB,3.5657,3
4wVOKKEHUJxHCFFNUWDn0B,Dark Lane Demo Tapes,Chicago Freestyle (feat. Giveon),"Drake, Giveon",True,83,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,audio_features,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,https://api.spotify.com/v1/tracks/4wVOKKEHUJxHCFFNUWDn0B,https://api.spotify.com/v1/audio-analysis/4wVOKKEHUJxHCFFNUWDn0B,3.6748,4
3m9St7c9tpJwNYN2adNESk,Circles (Deluxe),Surf,Mac Miller,False,52,0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,audio_features,spotify:track:3m9St7c9tpJwNYN2adNESk,https://api.spotify.com/v1/tracks/3m9St7c9tpJwNYN2adNESk,https://api.spotify.com/v1/audio-analysis/3m9St7c9tpJwNYN2adNESk,5.50845,4
16umSNZfofRpDqTvf8DIAo,Swimming,Wings,Mac Miller,True,68,0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,audio_features,spotify:track:16umSNZfofRpDqTvf8DIAo,https://api.spotify.com/v1/tracks/16umSNZfofRpDqTvf8DIAo,https://api.spotify.com/v1/audio-analysis/16umSNZfofRpDqTvf8DIAo,4.168666666666667,4
7KA4W4McWYRpgf0fWsJZWB,Flower Boy,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",True,95,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,3.00645,4
1OubIZ0ARYCUq5kceYUQiO,The Divine Feminine,Congratulations (feat. Bilal),"Mac Miller, Bilal",True,81,0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,audio_features,spotify:track:1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/tracks/1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/audio-analysis/1OubIZ0ARYCUq5kceYUQiO,4.273783333333333,4
