id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0TkIQ2I48rz4kpk1XpfyHq,NASTU,Mi Luz (ft. Rels B),"Rvfv, Rels B",False,77,0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,audio_features,spotify:track:0TkIQ2I48rz4kpk1XpfyHq,https://api.spotify.com/v1/tracks/0TkIQ2I48rz4kpk1XpfyHq,https://api.spotify.com/v1/audio-analysis/0TkIQ2I48rz4kpk1XpfyHq,2.8,4
31i56LZnwE6uSu3exoHjtB,Un Verano Sin Ti,Neverita,Bad Bunny,False,87,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,audio_features,spotify:track:31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/tracks/31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB,2.8853166666666668,4
69ZaPBHhRMRDjRpW1ivnOU,X 100PRE,Como Antes,Bad Bunny,False,69,0.767,0.379,0,-10.348,1,0.0385,0.668,0.000145,0.217,0.252,103.956,audio_features,spotify:track:69ZaPBHhRMRDjRpW1ivnOU,https://api.spotify.com/v1/tracks/69ZaPBHhRMRDjRpW1ivnOU,https://api.spotify.com/v1/audio-analysis/69ZaPBHhRMRDjRpW1ivnOU,3.842966666666667,4
6VrQTLzzuyGIYjUDe4kAZk,Un Verano Sin Ti,Un Coco,Bad Bunny,True,84,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,audio_features,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,https://api.spotify.com/v1/tracks/6VrQTLzzuyGIYjUDe4kAZk,https://api.spotify.com/v1/audio-analysis/6VrQTLzzuyGIYjUDe4kAZk,3.27355,4
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",False,84,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,3.455016666666667,4
2fBL047Cv32R3UFEup6xkP,No Me Llores,No Me Llores,"Duki, Leby",True,69,0.538,0.676,11,-8.846,0,0.038,0.665,7.98e-06,0.135,0.158,82.522,audio_features,spotify:track:2fBL047Cv32R3UFEup6xkP,https://api.spotify.com/v1/tracks/2fBL047Cv32R3UFEup6xkP,https://api.spotify.com/v1/audio-analysis/2fBL047Cv32R3UFEup6xkP,3.197433333333333,3
4qYOtEUm1Xp8dFSOfz9uP0,Fvck Luv,Fvck Luv,"Duki, C.R.O",True,69,0.716,0.74,4,-6.851,0,0.0757,0.59,0.000145,0.15,0.453,157.094,audio_features,spotify:track:4qYOtEUm1Xp8dFSOfz9uP0,https://api.spotify.com/v1/tracks/4qYOtEUm1Xp8dFSOfz9uP0,https://api.spotify.com/v1/audio-analysis/4qYOtEUm1Xp8dFSOfz9uP0,3.03265,4
3VJSv1RoYiCY4ECGyDO7ry,Súper Sangre Joven,Me Gusta Lo Simple,"Duki, Aleman",True,65,0.749,0.721,1,-5.827,1,0.459,0.375,0.0,0.0849,0.856,89.613,audio_features,spotify:track:3VJSv1RoYiCY4ECGyDO7ry,https://api.spotify.com/v1/tracks/3VJSv1RoYiCY4ECGyDO7ry,https://api.spotify.com/v1/audio-analysis/3VJSv1RoYiCY4ECGyDO7ry,3.2771166666666667,4
0icidvfDmXmaS5vMQlIPF8,Lola,Lola,Duko,True,62,0.843,0.567,4,-7.665,0,0.132,0.181,1.36e-05,0.0566,0.613,93.989,audio_features,spotify:track:0icidvfDmXmaS5vMQlIPF8,https://api.spotify.com/v1/tracks/0icidvfDmXmaS5vMQlIPF8,https://api.spotify.com/v1/audio-analysis/0icidvfDmXmaS5vMQlIPF8,2.7840333333333334,4
5w8dx6u3KGawHWZAJoqyKM,YSYSMO,A POR TODO,"YSY A, SPONSOR DIOS, ONIRIA",True,69,0.796,0.567,11,-8.32,0,0.199,0.0732,4.2e-05,0.239,0.226,82.02,audio_features,spotify:track:5w8dx6u3KGawHWZAJoqyKM,https://api.spotify.com/v1/tracks/5w8dx6u3KGawHWZAJoqyKM,https://api.spotify.com/v1/audio-analysis/5w8dx6u3KGawHWZAJoqyKM,2.7807833333333334,4
